Nr Lochy;Rasa;Aktualny miot;Aktualna liczba potomstwa lochy oceniona przyżyciowo;Aktualny Blup ZWH;Miot dla max ZWH;Liczba potomstwa lochy ocenianych przyżyciowo dla MAX ZWH;Max ZWH;Blup przyr. dz. dla max liczby potom.;Blup % mięsa dla max liczby potom.;Blup dla liczby prosiąt urodzonych;Blup dla liczby prosiąt odchowanych;Max liczba potomstwa;ZWH dla max liczby potom.
02442047820;20;4;4;9.0306;1;1;9.755;-0.02;0.6;-2.48;-0.92;11;9.2584
26615004521;20;2;3;9.1896;1;1;9.7506;-0.43;1.46;-0.91;-1.68;7;9.261
02442053019;20;5;9;9.229;4;7;9.3754;0.02;-0.46;-2.27;-0.61;16;9.2664
02442049720;20;4;11;8.794;3;6;9.587;-0.36;1.26;-2.28;-1.03;17;9.2722
06031081819;20;6;2;9.7388;6;2;9.7388;-0.06;-0.28;-0.75;-1.27;4;9.2724
06075015119;20;8;4;9.3054;6;2;9.4386;-0.41;-0.16;-1.3;-0.85;5;9.285
08024020820;20;5;3;9.2032;3;4;10.1104;0.08;0.63;-1.23;-1.45;7;9.2896
08024037518;20;9;4;9.0914;5;3;9.696;-0.01;0.02;-1.35;-1.1;4;9.2958
26093024120;20;5;3;9.2328;3;1;9.4148;0.03;0.3;-1.21;-1.28;6;9.2998
06031043020;20;5;3;9.305;5;3;9.3074;-0.15;-1.04;-0.53;-0.94;3;9.3074
24199010121;20;2;4;9.2286;1;4;9.3124;0.78;-1.59;-1.79;-0.71;4;9.3124
06031022820;20;5;3;8.5872;1;4;9.3132;-0.44;-0.61;-0.47;-0.95;4;9.3132
10195010921;20;2;1;9.302;2;1;9.3198;-0.13;0.62;-1.31;-1.22;1;9.3198
26086021020;20;4;6;9.098;2;5;9.4192;-0.01;0.33;-0.95;-1.33;6;9.3208
06386132017;20;9;1;9.3144;9;1;9.3236;-0.11;-0.44;-1.4;-0.78;1;9.3236
06118103019;20;6;2;9.6166;6;2;9.694;-0.51;0.85;-0.61;-1.37;3;9.3284
16001003119;20;7;3;9.2084;4;2;9.764;0.02;-1.04;-0.54;-0.97;3;9.3338
26086024220;20;6;3;9.3382;2;1;9.6626;0.05;0.24;-1.11;-1.22;3;9.3382
24199007321;20;2;4;9.0852;1;4;9.3554;-0.1;-1.37;-1.25;-0.42;4;9.3554
08024009419;20;7;3;9.192;2;2;9.518;0.11;1.73;-1.29;-1.69;3;9.3612
06118012921;20;2;1;9.2758;2;1;9.3754;-0.25;0.06;-0.74;-1.05;1;9.3754
26614048919;20;7;8;9.53;6;9;9.6652;0.48;-0.51;-0.9;-1.16;17;9.3844
02442054119;20;6;6;8.9618;3;10;9.7488;0.0;0.34;-2.52;-0.5;16;9.3908
06075022719;20;6;1;9.7592;5;1;9.931;-0.19;0.16;-1.3;-0.84;5;9.3932
06031004421;20;3;10;9.346;3;9;9.4966;-0.35;0.16;-0.72;-0.97;13;9.4046
26086118519;20;6;5;9.3856;5;5;9.4046;-1.06;0.52;-0.21;-0.92;5;9.4046
