Nr Knura;Rasa;Liczba kojarzeń;Numer chlewni;Numer kolejnej oceny;Aktualna liczba potom.;Aktualna liczba kojarzeń;Aktualny Blup ZWH;Max liczba potom.;Liczba kojarzeń dla max liczby potom.;ZWH dla max liczby potom.;Liczba potom. dla max ZWH;Liczba kojarzeń dla max ZWH;Max ZWH
18479012917;40;131;2521;181;14;5;9.8301;27;7;9.722;9;3;10.2682
18978012621;40;39;18957;30;49;9;9.7476;49;9;9.7476;47;9;9.8006
18978020621;40;17;18978;22;22;4;9.7378;22;4;9.7736;13;3;9.8524
18951037018;40;77;18951;124;3;1;9.6428;27;7;9.7895;3;1;10.8886
18444019619;40;87;18932;95;11;2;9.9324;31;6;9.7924;30;6;10.1018
12746003819;40;75;2521;119;1;1;9.3202;21;7;9.8328;7;3;11.0122
18479000121;40;18;18982;24;17;7;9.8062;17;7;9.834;17;7;9.834
18973034720;40;35;18335;38;22;6;9.9579;26;7;9.8602;22;6;9.9701
18978020721;40;37;18847;35;72;10;9.8778;72;10;9.8908;48;8;10.019
18954031820;40;74;2518;71;99;14;9.66;127;28;9.9346;102;22;9.9732
18973006420;40;83;18955;73;6;2;9.9586;28;7;9.9458;13;6;10.3498
18850007021;40;17;18850;23;32;5;10.0356;32;5;10.0356;14;2;10.042
12746004719;40;33;12746;78;19;5;10.2236;31;6;10.037;19;5;10.2369
18881011021;40;61;18968;21;16;6;10.0478;16;6;10.052;16;6;10.052
18891015619;40;59;18958;115;2;1;9.6245;14;4;10.0553;13;6;10.9066
18479001520;40;51;18850;84;6;1;10.757;97;18;10.1156;33;5;11.1306
18889006420;40;25;18460;78;12;2;9.8726;30;5;10.1438;6;1;10.1826
18951016920;40;70;18901;71;7;4;10.2746;24;10;10.1458;7;4;10.2746
18953085720;40;37;18953;24;19;8;10.1978;19;8;10.1978;19;8;10.1978
18978014920;40;63;18969;76;39;14;10.1309;43;13;10.2064;34;13;10.2288
18954020519;40;59;18976;89;16;3;10.2593;22;6;10.2522;18;4;10.7422
18953084720;40;35;18953;24;19;9;9.7796;19;9;10.2776;5;3;10.3792
18978020521;40;7;18967;16;11;2;9.8594;11;2;10.2838;11;2;10.2838
18479016220;40;59;18889;43;9;4;10.3376;23;7;10.315;19;7;10.3612
18973022619;40;26;18479;89;2;1;10.7042;5;3;10.3294;2;1;10.7154
18951016620;40;75;18954;58;24;6;10.2734;29;8;10.3534;24;6;10.5266
18479012620;40;57;18968;41;28;6;10.3932;28;6;10.3932;10;2;10.8322
18479014520;40;64;18951;60;17;5;10.486;17;5;10.4978;17;5;10.4978
18479016520;40;41;18881;50;20;3;9.9664;55;11;10.5154;55;11;10.5154
18955012719;40;46;18971;110;2;1;10.3001;12;3;10.5482;12;3;10.5482
18889033221;40;28;18889;21;2;1;10.4288;2;1;10.701;2;1;10.701
18479000120;40;77;18954;80;5;2;10.9308;48;12;10.7316;5;2;10.9308
18444024421;40;14;18920;21;19;4;10.8688;19;4;10.9048;19;4;10.9048
18889020920;40;20;18889;17;1;1;10.92;1;1;10.9766;1;1;10.9766
16405005519;40;35;16406;81;12;3;11.129;22;5;11.0928;5;1;11.4688
06493039220;70;1;6500;1;7;1;9.4665;7;1;9.4665;7;1;9.4665
02497003721;70;3;22380;34;12;2;9.995;19;3;10.0068;13;2;10.0328
20308002920;70;1;26621;24;3;1;10.0196;3;1;10.0641;3;1;10.0641
06493026221;70;2;98320;9;12;2;10.184;12;2;10.1931;12;2;10.1931
06493119619;70;9;22756;30;64;5;10.2096;64;5;10.2096;55;4;10.4112
24288027820;80;19;24288;48;17;7;9.8894;27;9;9.6961;2;1;9.9735
24288005718;80;83;24288;174;3;1;9.5251;77;16;9.9888;5;1;10.3024
