Nr Knura;Rasa;Liczba kojarzeń;Numer kolejnej oceny;Aktualna liczba potom.;Aktualna liczba kojarzeń;Aktualny Blup ZWH;Max liczba potom.;Liczba kojarzeń dla max liczby potom.;ZWH dla max liczby potom.;Liczba potom. dla max ZWH;Liczba kojarzeń dla max ZWH;Max ZWH
06493035418;70;11;84;3;1;9.9729;8;2;10.0802;4;1;10.412
26377028520;70;30;40;66;12;10.1468;66;12;10.1468;66;12;10.1468
06493106820;70;5;34;5;1;10.0247;14;3;10.2493;4;1;10.2693
06453003618;80;43;98;14;2;9.6574;14;2;9.6574;1;1;10.9841
I7501600121;80;100;52;20;7;9.7537;20;7;9.7537;20;7;9.7537
I7501555520;80;117;72;35;6;9.9218;69;13;10.0507;26;5;10.1088
06453016620;80;53;78;59;5;10.2072;81;7;10.1487;23;4;10.2689
06453058021;80;9;1;1;1;10.199;1;1;10.199;1;1;10.199
I7501570151;80;69;49;14;6;10.4609;17;5;10.3173;11;5;10.6651
06453047219;80;8;68;16;2;10.2247;16;2;10.3791;2;1;10.8163
